SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,3642 Woodcliff Dr,Kalamazoo,MI,49008,224000,4,2.5,K04 - Oakwood-Parkview,2859,,1972,52,78,494,Active,,,http://www.redfin.com/MI/Kalamazoo/3642-Woodcliff-Dr-49008/home/96375068,SW Michigan MLS,19053330,N,Y,42.2555373,-85.6337043
MLS Listing,,Single Family Residential,1130 Trillium Blvd,Vicksburg,MI,49097,199900,4,2.5,K21 - Schoolcraft & Prairie Ronde Twp,1822,12327,2019,52,110,,Active,,,http://www.redfin.com/MI/Vicksburg/1130-Trillium-Blvd-49097/home/96810009,SW Michigan MLS,19053181,N,Y,42.1316585,-85.5518758
MLS Listing,,Single Family Residential,7486 Jamaica Ln,Portage,MI,49002,314900,3,2.0,K19 - North Portage,1762,20473,,53,179,,Active,,,http://www.redfin.com/MI/Portage/7486-Jamaica-Ln-49002/home/96776878,SW Michigan MLS,19053087,N,Y,42.2101889,-85.5338524
MLS Listing,,Single Family Residential,5860 W R Ave,Schoolcraft,MI,49087,929000,4,3.5,K25 - Texas Township,4439,971388,1997,53,209,,Active,,,http://www.redfin.com/MI/Schoolcraft/5860-W-R-Ave-49087/home/96354560,SW Michigan MLS,19053019,N,Y,42.1886012,-85.6642088
MLS Listing,,Condo/Co-op,722 W Kilgore Rd #301,Kalamazoo,MI,49008,64907,2,1.0,K03 - Westnedge-Whites Rd,875,,1967,53,74,225,Active,,,http://www.redfin.com/MI/Kalamazoo/722-W-Kilgore-Rd-49008/unit-301/home/112029108,SW Michigan MLS,19053011,N,Y,42.2459453,-85.5929082
MLS Listing,,Single Family Residential,1901 Katie Ct,Portage,MI,49024,279900,4,3.0,K20 - South Portage,2654,175982,1974,53,105,,Active,,,http://www.redfin.com/MI/Portage/1901-Katie-Ct-49024/home/112029191,SW Michigan MLS,19052990,N,Y,42.1877615,-85.6118647
MLS Listing,,Vacant Land,5547 E O Ave,Kalamazoo,MI,49048,499900,,,K16 - Pavillion & Climax Tw,,3314916,,54,,,Active,,,http://www.redfin.com/MI/Kalamazoo/5547-E-O-Ave-49048/home/169604898,SW Michigan MLS,19052906,N,Y,42.2339815,-85.518358
MLS Listing,,Single Family Residential,5122 Misty Creek Dr,Kalamazoo,MI,49009,349900,4,2.5,K25 - Texas Township,2487,16553,2008,54,141,,Active,,,http://www.redfin.com/MI/Kalamazoo/5122-Misty-Creek-Dr-49009/home/96164077,SW Michigan MLS,19052765,N,Y,42.2432832,-85.6508328
MLS Listing,,Single Family Residential,313 Fairview Ave,Kalamazoo,MI,49001,159900,4,2.0,K02 - Westnedge Hill,1320,6713,1948,54,121,,Active,,,http://www.redfin.com/MI/Kalamazoo/313-Fairview-Ave-49001/home/96318767,SW Michigan MLS,19052759,N,Y,42.2631341,-85.586146
MLS Listing,,Single Family Residential,2830 Tattersall Rd,Portage,MI,49024,214609,4,2.0,K19 - North Portage,2032,12632,1967,56,106,,Active,,,http://www.redfin.com/MI/Portage/2830-Tattersall-Rd-49024/home/96454727,SW Michigan MLS,19052515,N,Y,42.2227839,-85.623532
MLS Listing,,Single Family Residential,703 Lynn Ave,Kalamazoo,MI,49008,125000,3,2.0,K03 - Westnedge-Whites Rd,1267,8146,1952,56,99,,Active,,,http://www.redfin.com/MI/Kalamazoo/703-Lynn-Ave-49008/home/111989930,SW Michigan MLS,19052489,N,Y,42.2557664,-85.5921895
MLS Listing,,Condo/Co-op,2315 Hollow Creek Trl,Portage,MI,49024,589900,3,3.5,K20 - South Portage,3103,4800,2015,56,190,355,Active,,,http://www.redfin.com/MI/Portage/2315-Hollow-Creek-Trl-49024/home/112028842,SW Michigan MLS,19052463,N,Y,42.186898,-85.61618
MLS Listing,,Single Family Residential,7114 Winter Forest Dr,Portage,MI,49024,202900,4,2.0,K19 - North Portage,2007,12153,1964,57,101,,Active,,,http://www.redfin.com/MI/Portage/7114-Winter-Forest-Dr-49024/home/96639449,SW Michigan MLS,19052386,N,Y,42.21373,-85.6025451
MLS Listing,,Single Family Residential,5133 Chickadee Dr,Kalamazoo,MI,49009,400000,4,3.0,K25 - Texas Township,3332,18426,1979,59,120,,Active,,,http://www.redfin.com/MI/Kalamazoo/5133-Chickadee-Dr-49009/home/83643383,SW Michigan MLS,19052313,N,Y,42.1958888,-85.651495
MLS Listing,,Single Family Residential,315 Magellan Ct,Portage,MI,49002,269900,4,2.5,K20 - South Portage,3012,19515,1989,59,90,,Active,,,http://www.redfin.com/MI/Portage/315-Magellan-Ct-49002/home/96168229,SW Michigan MLS,19052304,N,Y,42.1762818,-85.5865534
MLS Listing,,Single Family Residential,1745 Greenbriar Dr,Portage,MI,49024,235000,4,2.5,K19 - North Portage,2913,14375,1976,59,81,,Active,,,http://www.redfin.com/MI/Portage/1745-Greenbriar-Dr-49024/home/96419702,SW Michigan MLS,19052217,N,Y,42.2394637,-85.6119286
MLS Listing,,Single Family Residential,4339 Sunset Dr,Kalamazoo,MI,49008,285000,4,3.0,K03 - Westnedge-Whites Rd,2259,11804,1954,59,126,,Active,,,http://www.redfin.com/MI/Kalamazoo/4339-Sunset-Dr-49008/home/96228728,SW Michigan MLS,19052210,N,Y,42.2470676,-85.6067702
MLS Listing,,Single Family Residential,4214 Tiffany Ave,Portage,MI,49002,158900,3,1.5,K19 - North Portage,1372,13591,1965,60,116,,Active,,,http://www.redfin.com/MI/Portage/4214-Tiffany-Ave-49002/home/96363251,SW Michigan MLS,19052003,N,Y,42.2073045,-85.5386702
MLS Listing,,Condo/Co-op,10424 Hammock Cir,Portage,MI,49024,224900,2,2.0,K20 - South Portage,1210,5400,2019,60,186,165,Active,,,http://www.redfin.com/MI/Portage/Hammock-Cir-49024/home/112029292,SW Michigan MLS,19051966,N,Y,42.165411,-85.61681
MLS Listing,,Single Family Residential,5226 Windyridge Dr,Portage,MI,49002,225000,4,2.5,K19 - North Portage,2333,14810,1956,61,96,,Active,,,http://www.redfin.com/MI/Portage/5226-Windyridge-Dr-49002/home/96355466,SW Michigan MLS,19051732,N,Y,42.2415307,-85.5827155
MLS Listing,,Single Family Residential,5694 Briarhill Ct,Portage,MI,49024,249900,4,3.5,K19 - North Portage,2544,9583,2003,62,98,,Active,,,http://www.redfin.com/MI/Portage/5694-Briarhill-Ct-49024/home/96136727,SW Michigan MLS,19051687,N,Y,42.2346384,-85.641271
MLS Listing,,Condo/Co-op,8664 Oakland Hills Cir,Portage,MI,49024,360000,2,2.0,K20 - South Portage,2030,,2008,62,177,355,Active,,,http://www.redfin.com/MI/Portage/8664-Oakland-Hills-Cir-49024/home/111943766,SW Michigan MLS,19051583,N,Y,42.1912591,-85.6150146
MLS Listing,,Single Family Residential,7381 Morganshire Ct,Kalamazoo,MI,49009,599900,5,4.5,K25 - Texas Township,4474,30524,2014,62,134,150,Active,,,http://www.redfin.com/MI/Kalamazoo/7381-Morganshire-Ct-49009/home/96117059,SW Michigan MLS,19051562,N,Y,42.2100579,-85.6740876
MLS Listing,,Single Family Residential,7923 Interlochen St,Kalamazoo,MI,49009,475000,5,3.5,K25 - Texas Township,4350,25700,2009,62,109,2,Active,,,http://www.redfin.com/MI/Kalamazoo/7923-Interlochen-St-49009/home/96295042,SW Michigan MLS,19051534,N,Y,42.2020805,-85.6948057
